,School Name,Location Code,District,Latitude,Longitude,Address (Full),City,Zip,Grades,Community School?,Economic Need Index,School Income Estimate,Rigorous Instruction Rating,Collaborative Teachers Rating,Supportive Environment Rating,Effective School Leadership Rating,Strong Family-Community Ties Rating,Trust Rating,Student Achievement Rating,Average ELA Proficiency,Average Math Proficiency,Grade 3 ELA - All Students Tested,Grade 3 ELA 4s - All Students,Grade 3 ELA 4s - American Indian or Alaska Native,Grade 3 ELA 4s - Black or African American,Grade 3 ELA 4s - Hispanic or Latino,Grade 3 ELA 4s - Asian or Pacific Islander,Grade 3 ELA 4s - White,Grade 3 ELA 4s - Multiracial,Grade 3 ELA 4s - Limited English Proficient,Grade 3 ELA 4s - Economically Disadvantaged,Grade 3 Math - All Students tested,Grade 3 Math 4s - All Students,Grade 3 Math 4s - American Indian or Alaska Native,Grade 3 Math 4s - Black or African American,Grade 3 Math 4s - Hispanic or Latino,Grade 3 Math 4s - Asian or Pacific Islander,Grade 3 Math 4s - White,Grade 3 Math 4s - Multiracial,Grade 3 Math 4s - Limited English Proficient,Grade 3 Math 4s - Economically Disadvantaged,Grade 4 ELA - All Students Tested,Grade 4 ELA 4s - All Students,Grade 4 ELA 4s - American Indian or Alaska Native,Grade 4 ELA 4s - Black or African American,Grade 4 ELA 4s - Hispanic or Latino,Grade 4 ELA 4s - Asian or Pacific Islander,Grade 4 ELA 4s - White,Grade 4 ELA 4s - Multiracial,Grade 4 ELA 4s - Limited English Proficient,Grade 4 ELA 4s - Economically Disadvantaged,Grade 4 Math - All Students Tested,Grade 4 Math 4s - All Students,Grade 4 Math 4s - American Indian or Alaska Native,Grade 4 Math 4s - Black or African American,Grade 4 Math 4s - Hispanic or Latino,Grade 4 Math 4s - Asian or Pacific Islander,Grade 4 Math 4s - White,Grade 4 Math 4s - Multiracial,Grade 4 Math 4s - Limited English Proficient,Grade 4 Math 4s - Economically Disadvantaged,Grade 5 ELA - All Students Tested,Grade 5 ELA 4s - All Students,Grade 5 ELA 4s - American Indian or Alaska Native,Grade 5 ELA 4s - Black or African American,Grade 5 ELA 4s - Hispanic or Latino,Grade 5 ELA 4s - Asian or Pacific Islander,Grade 5 ELA 4s - White,Grade 5 ELA 4s - Multiracial,Grade 5 ELA 4s - Limited English Proficient,Grade 5 ELA 4s - Economically Disadvantaged,Grade 5 Math - All Students Tested,Grade 5 Math 4s - All Students,Grade 5 Math 4s - American Indian or Alaska Native,Grade 5 Math 4s - Black or African American,Grade 5 Math 4s - Hispanic or Latino,Grade 5 Math 4s - Asian or Pacific Islander,Grade 5 Math 4s - White,Grade 5 Math 4s - Multiracial,Grade 5 Math 4s - Limited English Proficient,Grade 5 Math 4s - Economically Disadvantaged,Grade 6 ELA - All Students Tested,Grade 6 ELA 4s - All Students,Grade 6 ELA 4s - American Indian or Alaska Native,Grade 6 ELA 4s - Black or African American,Grade 6 ELA 4s - Hispanic or Latino,Grade 6 ELA 4s - Asian or Pacific Islander,Grade 6 ELA 4s - White,Grade 6 ELA 4s - Multiracial,Grade 6 ELA 4s - Limited English Proficient,Grade 6 ELA 4s - Economically Disadvantaged,Grade 6 Math - All Students Tested,Grade 6 Math 4s - All Students,Grade 6 Math 4s - American Indian or Alaska Native,Grade 6 Math 4s - Black or African American,Grade 6 Math 4s - Hispanic or Latino,Grade 6 Math 4s - Asian or Pacific Islander,Grade 6 Math 4s - White,Grade 6 Math 4s - Multiracial,Grade 6 Math 4s - Limited English Proficient,Grade 6 Math 4s - Economically Disadvantaged,Grade 7 ELA - All Students Tested,Grade 7 ELA 4s - All Students,Grade 7 ELA 4s - American Indian or Alaska Native,Grade 7 ELA 4s - Black or African American,Grade 7 ELA 4s - Hispanic or Latino,Grade 7 ELA 4s - Asian or Pacific Islander,Grade 7 ELA 4s - White,Grade 7 ELA 4s - Multiracial,Grade 7 ELA 4s - Limited English Proficient,Grade 7 ELA 4s - Economically Disadvantaged,Grade 7 Math - All Students Tested,Grade 7 Math 4s - All Students,Grade 7 Math 4s - American Indian or Alaska Native,Grade 7 Math 4s - Black or African American,Grade 7 Math 4s - Hispanic or Latino,Grade 7 Math 4s - Asian or Pacific Islander,Grade 7 Math 4s - White,Grade 7 Math 4s - Multiracial,Grade 7 Math 4s - Limited English Proficient,Grade 7 Math 4s - Economically Disadvantaged,Grade 8 ELA - All Students Tested,Grade 8 ELA 4s - All Students,Grade 8 ELA 4s - American Indian or Alaska Native,Grade 8 ELA 4s - Black or African American,Grade 8 ELA 4s - Hispanic or Latino,Grade 8 ELA 4s - Asian or Pacific Islander,Grade 8 ELA 4s - White,Grade 8 ELA 4s - Multiracial,Grade 8 ELA 4s - Limited English Proficient,Grade 8 ELA 4s - Economically Disadvantaged,Grade 8 Math - All Students Tested,Grade 8 Math 4s - All Students,Grade 8 Math 4s - American Indian or Alaska Native,Grade 8 Math 4s - Black or African American,Grade 8 Math 4s - Hispanic or Latino,Grade 8 Math 4s - Asian or Pacific Islander,Grade 8 Math 4s - White,Grade 8 Math 4s - Multiracial,Grade 8 Math 4s - Limited English Proficient,Grade 8 Math 4s - Economically Disadvantaged,Rigorous Instruction %,Collaborative Teachers %,Supportive Environment %,Effective School Leadership %,Strong Family-Community Ties %,Trust %,Percent Asian,Percent ELL,Percent Black,Student Attendance Rate,Percent Black / Hispanic,Percent White,Percent of Students Chronically Absent,Percent Hispanic
329,P.S. 085 GREAT EXPECTATIONS,10X085,10,40.858852,-73.894829,"2400 MARION AVE BRONX, NY 10458",BRONX,10458,"0K,01,02,03,04,05",1,0.925,"$23,548.89 ",Approaching Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,2.02,2.05,154,0,0,0,0,0,0,0,0,0,160,7,0,0,6,0,0,0,1,7,159,4,0,1,2,0,0,0,0,4,162,3,0,1,2,0,0,0,1,3,159,1,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0.8200000000000001,0.8200000000000001,0.7000000000000001,0.81,0.85,0.01,0.22,0.29,0.91,0.98,0.0,0.35000000000000003,0.6900000000000001
330,P.S. 086 KINGSBRIDGE HEIGHTS,10X086,10,40.869847,-73.898263,"2756 RESERVOIR AVE BRONX, NY 10468",BRONX,10468,"PK,0K,01,02,03,04,05,06",0,0.878,"$33,865.07 ",Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,2.47,2.8,192,6,0,0,5,1,0,0,0,5,197,32,0,1,27,3,1,0,2,26,242,50,0,4,39,6,0,0,1,35,249,72,0,5,58,6,0,0,7,54,224,22,0,3,17,0,0,0,0,17,233,42,0,2,32,0,0,0,1,33,195,17,0,2,13,0,0,0,0,12,202,40,0,5,31,0,0,0,2,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9500000000000001,0.9500000000000001,0.93,0.88,0.8300000000000001,0.96,0.04,0.3,0.08,0.9400000000000001,0.9400000000000001,0.01,0.2,0.86
331,P.S. 091 BRONX,10X091,10,40.858715999999994,-73.90740799999999,"2220 AQUEDUCT AVE BRONX, NY 10453",BRONX,10453,"0K,01,02,03,04,05",0,0.903,"$29,919.76 ",Approaching Target,Approaching Target,Approaching Target,Not Meeting Target,Approaching Target,Not Meeting Target,Exceeding Target,2.33,2.52,113,2,0,0,0,0,0,0,0,2,117,12,0,2,7,0,0,0,0,10,116,12,0,0,8,0,0,0,0,11,121,13,0,0,8,0,0,0,1,12,90,2,0,0,1,0,0,0,0,1,93,4,0,0,3,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8200000000000001,0.76,0.8,0.66,0.78,0.75,0.03,0.38,0.18,0.91,0.9400000000000001,0.02,0.36,0.76
332,P.S. 094 KINGS COLLEGE SCHOOL,10X094,10,40.88051,-73.87526700000001,"3530 KINGS COLLEGE PL BRONX, NY 10467",BRONX,10467,"0K,01,02,03,04,05",0,0.862,"$33,404.63 ",Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Approaching Target,2.17,2.22,171,2,0,0,2,0,0,0,0,2,182,2,0,1,0,1,0,0,0,2,191,8,0,1,4,0,0,0,0,7,197,11,0,1,4,0,0,0,1,10,172,2,0,1,1,0,0,0,0,2,178,3,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0.86,0.88,0.74,0.8200000000000001,0.93,0.11,0.26,0.16,0.91,0.84,0.03,0.34,0.68
336,P.S. 159 LUIS MUNOZ MARIN BILING,10X159,10,40.855521,-73.893276,"2315 WASHINGTON AVE BRONX, NY 10457",BRONX,10457,"0K,01,02,03,04,05",0,0.907,"$23,307.95 ",Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,2.33,2.43,23,2,0,0,0,0,0,0,0,0,23,2,0,0,0,0,0,0,0,0,23,4,0,0,0,0,0,0,0,4,23,4,0,0,0,0,0,0,0,4,40,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0.99,0.96,0.93,0.93,1.0,0.0,0.3,0.08,0.93,0.98,0.01,0.26,0.9
337,P.S. 205 FIORELLO LAGUARDIA,10X205,10,40.855742,-73.881407,"2475 SOUTHERN BLVD BRONX, NY 10458",BRONX,10458,"0K,01,02,03,04,05",0,0.887,"$23,907.92 ",Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Exceeding Target,Meeting Target,2.4,2.51,174,1,0,0,1,0,0,0,0,1,176,9,0,0,9,0,0,0,0,7,171,4,0,1,3,0,0,0,0,4,179,3,0,0,2,0,1,0,1,2,153,5,0,1,2,0,2,0,0,3,157,12,0,1,8,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0.91,0.93,0.8,0.8300000000000001,0.9400000000000001,0.01,0.2,0.15,0.93,0.9400000000000001,0.05,0.26,0.79
340,P.S. 226,10X226,10,40.855568,-73.91622,"1950 SEDGWICK AVE BRONX, NY 10453",BRONX,10453,"PK,0K,01,02,03,04",0,0.903,"$30,205.50 ",Approaching Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,2.22,2.34,75,2,0,0,1,0,0,0,0,0,78,6,0,0,5,0,0,0,0,4,76,1,0,0,1,0,0,0,0,0,81,1,0,0,0,0,0,0,0,0,71,6,0,3,3,0,0,0,0,0,73,8,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8200000000000001,0.8,0.86,0.7000000000000001,0.81,0.85,0.01,0.22,0.23,0.93,0.98,0.0,0.23,0.76
344,P.S. 246 POE CENTER,10X246,10,40.865975,-73.895314,"2641 GRAND CONCOURSE BRONX, NY 10468",BRONX,10468,"0K,01,02,03,04,05,06",0,0.88,"$34,941.39 ",Approaching Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,2.13,2.3,130,1,0,0,1,0,0,0,0,1,137,10,0,2,6,0,1,0,1,10,105,1,0,0,1,0,0,0,0,1,107,4,0,0,3,0,0,0,0,4,108,1,0,0,1,0,0,0,0,1,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0.8200000000000001,0.86,0.67,0.84,0.91,0.02,0.27,0.1,0.92,0.9500000000000001,0.02,0.3,0.85
346,"P.S. 279 CAPTAIN MANUEL RIVERA, JR.",10X279,10,40.854751,-73.905024,"2100 WALTON AVE BRONX, NY 10453",BRONX,10453,"0K,01,02,03,04,05,06,07,08",0,0.9179999999999999,"$26,313.10 ",Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,2.26,2.33,129,4,0,1,1,0,0,0,0,4,132,6,0,1,4,0,0,0,1,6,106,0,0,0,0,0,0,0,0,0,109,8,0,0,8,0,0,0,0,0,100,1,0,0,1,0,0,0,0,0,104,1,0,0,1,0,0,0,0,0,119,5,0,0,4,0,0,0,0,5,123,15,0,4,10,0,0,0,0,13,110,3,0,0,2,0,0,0,0,2,110,4,0,0,2,0,0,0,0,3,111,7,0,0,7,0,0,0,0,6,116,6,0,0,4,0,0,0,0,6,0.9,0.92,0.88,0.89,0.87,0.93,0.03,0.29,0.17,0.93,0.96,0.0,0.26,0.79
347,P.S./M.S. 280 MOSHOLU PARKWAY,10X280,10,40.877179,-73.881546,"3202 STEUBEN AVE BRONX, NY 10467",BRONX,10467,"0K,01,02,03,04,05,06,07,08",0,0.8370000000000001,"$37,116.54 ",Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Approaching Target,Exceeding Target,Exceeding Target,2.48,2.66,98,3,0,0,1,1,1,0,0,3,101,8,0,1,4,2,1,0,0,7,96,8,0,0,7,1,0,0,0,0,97,15,0,0,12,3,0,0,0,0,126,3,0,0,1,1,1,0,0,3,126,5,0,1,2,1,1,0,0,5,97,7,0,0,3,4,0,0,0,6,98,21,0,0,14,5,0,0,0,17,96,6,0,0,4,2,0,0,0,0,95,2,0,0,0,2,0,0,0,0,85,7,0,1,4,2,0,0,0,7,79,6,0,1,2,2,1,0,0,6,0.9500000000000001,0.92,0.96,0.84,0.81,0.9400000000000001,0.11,0.12,0.09,0.93,0.8300000000000001,0.05,0.22,0.74
348,P.S. 291,10X291,10,40.859165000000004,-73.909733,"2195 ANDREWS AVE BRONX, NY 10453",BRONX,10453,"0K,01,02,03,04",0,0.9229999999999999,"$24,753.36 ",Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,2.4,2.67,109,5,0,1,4,0,0,0,0,0,112,15,0,2,13,0,0,0,1,0,109,17,0,0,14,0,0,0,1,17,113,21,0,0,18,0,0,0,2,21,98,4,0,0,3,0,0,0,0,4,102,8,0,0,7,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,0.96,0.97,0.93,0.86,0.98,0.0,0.24,0.11,0.91,0.99,0.0,0.3,0.88
349,P.S. 306,10X306,10,40.851349,-73.910712,"40 W TREMONT AVE BRONX, NY 10453",BRONX,10453,"0K,01,02,03,04,05",0,0.91,"$23,044.61 ",Approaching Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,2.19,2.3,138,3,0,1,2,0,0,0,0,3,141,3,0,0,3,0,0,0,2,3,124,5,0,0,3,0,0,0,0,1,131,6,0,0,3,0,0,0,0,4,107,3,0,0,2,0,0,0,0,2,111,4,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0.76,0.88,0.6900000000000001,0.84,0.85,0.01,0.17,0.28,0.92,0.98,0.01,0.27,0.7000000000000001
350,LUISA PINEIRO FUENTES SCHOOL OF SCIENCE AND DISCOVERY,10X307,10,40.869145,-73.901836,"124 EAMES PL BRONX, NY 10468",BRONX,10468,"PK,0K,01,02,03,04,05",0,0.836,"$35,736.86 ",Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Exceeding Target,Approaching Target,2.27,2.43,55,0,0,0,0,0,0,0,0,0,55,1,0,0,1,0,0,0,0,1,56,4,0,1,3,0,0,0,0,4,58,6,0,0,4,0,0,0,0,4,54,1,0,0,1,0,0,0,0,0,54,3,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91,0.93,0.9,0.85,0.84,0.96,0.08,0.25,0.08,0.9500000000000001,0.91,0.01,0.16,0.8200000000000001
352,P.S. 310 MARBLE HILL,10X310,10,40.872481,-73.905299,"260 W KINGSBRIDGE RD BRONX, NY 10463",BRONX,10463,"PK,0K,01,02,03,04,05",0,0.8740000000000001,"$36,529.19 ",Meeting Target,Exceeding Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,2.23,2.56,109,4,0,0,3,0,0,0,0,0,115,12,0,0,12,0,0,0,1,0,104,4,0,0,2,0,0,0,0,4,108,8,0,1,5,0,0,0,1,8,115,1,0,0,1,0,0,0,0,0,118,12,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0.84,0.92,0.74,0.8200000000000001,0.86,0.01,0.15,0.09,0.93,0.9500000000000001,0.03,0.21,0.85
353,P.S. 315 LAB SCHOOL,10X315,10,40.857969,-73.903757,"2246 JEROME AVE BRONX, NY 10453",BRONX,10453,"0K,01,02,03,04,05,06,07,08",0,0.868,"$26,738.54 ",Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,2.46,2.61,31,3,0,0,0,0,0,0,0,0,31,5,0,0,0,0,0,0,0,0,30,7,0,0,0,0,0,0,0,7,30,8,0,0,0,0,0,0,0,8,28,2,0,0,2,0,0,0,0,0,28,2,0,0,2,0,0,0,0,0,30,3,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,26,4,0,0,0,0,0,0,0,0,26,2,0,0,0,0,0,0,0,0,47,5,0,0,3,0,0,0,0,0,47,3,0,0,2,0,0,0,0,0,0.9500000000000001,0.93,0.8,0.9,0.87,0.89,0.01,0.16,0.16,0.9400000000000001,0.98,0.01,0.19,0.8200000000000001
355,P.S. 340,10X340,10,40.869429,-73.897161,"25 W 195TH ST BRONX, NY 10468",BRONX,10468,"0K,01,02,03,04,05",0,0.909,"$33,837.87 ",Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,Exceeding Target,Meeting Target,2.29,2.52,105,5,0,0,2,0,0,0,0,3,105,11,0,0,6,0,0,0,0,9,88,2,0,0,1,0,0,0,0,1,92,7,0,1,6,0,0,0,0,5,83,2,0,0,1,1,0,0,0,2,87,7,0,0,5,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.9500000000000001,0.93,0.86,0.8300000000000001,0.97,0.03,0.23,0.09,0.92,0.9400000000000001,0.02,0.3,0.85
357,AMPARK NEIGHBORHOOD,10X344,10,40.883022,-73.891672,"3961 HILLMAN AVE BRONX, NY 10463",BRONX,10463,"0K,01,02,03,04,05",0,0.42100000000000004,"$54,446.90 ",Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Approaching Target,2.74,2.95,71,8,0,1,2,2,3,0,0,1,71,28,0,2,14,3,9,0,0,11,73,11,0,3,5,0,0,0,0,5,74,10,0,0,4,0,3,0,0,3,44,6,0,0,0,0,3,0,0,1,45,9,0,1,3,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9500000000000001,0.9500000000000001,0.9400000000000001,0.91,0.91,0.96,0.05,0.03,0.13,0.9400000000000001,0.73,0.2,0.11,0.6
358,P.S. 360,10X360,10,40.874718,-73.902209,"2880 KINGSBRIDGE TER BRONX, NY 10463",BRONX,10463,"0K,01,02,03,04,05",0,0.794,"$39,138.83 ",Approaching Target,Meeting Target,Meeting Target,Not Meeting Target,Approaching Target,Approaching Target,Approaching Target,2.22,2.13,60,3,0,0,2,0,0,0,0,0,60,3,0,0,1,0,0,0,0,0,67,4,0,0,4,0,0,0,0,3,69,1,0,0,1,0,0,0,0,1,57,2,0,0,1,0,0,0,0,2,59,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0.8200000000000001,0.9,0.67,0.79,0.86,0.02,0.14,0.11,0.91,0.9500000000000001,0.03,0.31,0.84
361,"ELEMENTARY SCHOOL FOR MATH, SCIENCE, AND TECHNOLOGY",10X382,10,40.855211,-73.90326400000001,"125 E 181ST ST BRONX, NY 10453",BRONX,10453,"PK,0K,01,02,03,04,05",0,0.9179999999999999,"$23,846.20 ",Meeting Target,Meeting Target,Meeting Target,Meeting Target,Not Meeting Target,Meeting Target,Approaching Target,2.23,2.3,35,2,0,0,2,0,0,0,0,0,37,3,0,0,3,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,49,2,0,1,1,0,0,0,0,0,53,3,0,0,3,0,0,0,0,0,54,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91,0.89,0.9,0.85,0.78,0.93,0.0,0.3,0.24,0.9400000000000001,0.99,0.0,0.2,0.75
362,SCHOOL FOR ENVIRONMENTAL CITIZENSHIP,10X386,10,40.855211,-73.90326400000001,"125 E 181ST ST BRONX, NY 10453",BRONX,10453,"PK,0K,01,02,03,04,05",0,0.9309999999999999,"$23,981.38 ",Approaching Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,2.23,2.25,67,3,0,0,2,0,0,0,0,3,70,3,0,0,2,0,0,0,0,3,80,2,0,0,2,0,0,0,0,2,81,2,0,0,2,0,0,0,0,2,66,1,0,0,1,0,0,0,0,1,68,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8300000000000001,0.8300000000000001,0.89,0.72,0.8300000000000001,0.86,0.01,0.29,0.15,0.93,0.98,0.01,0.23,0.8300000000000001
365,P.S. 396,10X396,10,40.854366999999996,-73.913024,"1930 ANDREWS AVE BRONX, NY 10453",BRONX,10453,"PK,0K,01,02,03,04",0,0.893,"$28,539.68 ",Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,2.3,2.38,52,1,0,0,1,0,0,0,0,0,55,3,0,0,1,0,0,0,0,2,54,2,0,0,2,0,0,0,0,2,54,2,0,0,1,0,0,0,0,2,47,3,0,0,2,0,0,0,0,2,48,5,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0.87,0.87,0.81,0.87,0.9,0.0,0.18,0.22,0.93,0.98,0.02,0.23,0.76
368,P.S. 016 WAKEFIELD,11X016,11,40.90237,-73.854546,"4550 CARPENTER AVE BRONX, NY 10470",BRONX,10470,"PK,0K,01,02,03,04,05",0,0.772,"$45,746.42 ",Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,2.25,2.37,72,1,1,0,0,0,0,0,0,0,72,4,2,1,0,0,0,0,0,0,66,7,0,5,2,0,0,0,0,0,69,6,0,3,1,0,0,0,0,0,81,2,0,1,1,0,0,0,0,2,81,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.87,0.9,0.81,0.85,0.88,0.04,0.04,0.58,0.9,0.86,0.02,0.37,0.28
369,P.S. 019 JUDITH K. WEISS,11X019,11,40.899321,-73.867223,"4318 KATONAH AVE BRONX, NY 10470",BRONX,10470,"0K,01,02,03,04,05,06,07,08",0,0.35,"$62,840.53 ",Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Approaching Target,2.81,2.98,56,5,0,0,1,0,3,0,0,3,56,7,0,0,2,0,4,0,0,4,54,7,0,0,1,0,6,0,0,4,52,7,0,0,4,0,3,0,0,3,60,4,0,0,0,0,3,0,0,2,61,11,0,0,1,0,8,0,0,5,47,9,0,0,0,0,5,0,0,5,47,11,0,0,0,0,10,0,0,6,58,13,0,0,0,0,9,0,0,5,59,19,0,0,2,0,12,0,0,9,49,14,0,0,5,0,8,0,0,9,49,7,0,0,2,0,5,0,0,3,0.96,0.96,0.89,0.9400000000000001,0.8300000000000001,0.9500000000000001,0.04,0.08,0.08,0.9500000000000001,0.36,0.59,0.09,0.28
370,P.S. 021 PHILIP H. SHERIDAN,11X021,11,40.88794,-73.859406,"715 E 225TH ST BRONX, NY 10466",BRONX,10466,"0K,01,02,03,04,05",0,0.7829999999999999,"$36,662.41 ",Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Approaching Target,2.23,2.31,106,0,0,0,0,0,0,0,0,0,104,1,0,1,0,0,0,0,0,1,106,4,0,2,1,0,0,0,0,3,105,9,0,5,2,0,0,0,0,6,102,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0.91,0.86,0.76,0.79,0.93,0.01,0.07,0.7000000000000001,0.9,0.9400000000000001,0.01,0.39,0.24
